اولویت,عرض جغرافیایی,طول جغرافیایی,مساحت (هکتار),میانگین NDVI,میانگین دما (°C),تعداد سلول Grid
131,35.72767,51.21777,0.09,0.163,51.4,1
132,35.73336,51.21745,0.09,0.153,48.5,1
133,35.73146,51.21645,0.09,0.16,49.6,1
134,35.73525,51.2158,0.09,0.163,48.8,1
135,35.73065,51.21512,0.09,0.163,50.1,1
136,35.73769,51.21415,0.09,0.158,49.2,1
137,35.75771,51.21055,0.09,0.152,49.7,1
138,35.75663,51.20988,0.09,0.138,49.2,1
139,35.75934,51.20956,0.09,0.148,49.0,1
140,35.74203,51.20786,0.09,0.161,48.6,1
141,35.74203,51.20719,0.09,0.159,48.7,1
142,35.73851,51.20685,0.09,0.154,48.5,1
143,35.73094,51.2055,0.09,0.153,49.4,1
144,35.72688,51.20516,0.09,0.15,48.5,1
145,35.73257,51.20484,0.09,0.149,49.5,1
146,35.72283,51.20316,0.09,0.16,49.9,1
147,35.73771,51.2022,0.09,0.155,48.6,1
148,35.7488,51.20124,0.09,0.076,48.6,1
149,35.74934,51.20091,0.09,0.105,48.7,1
150,35.75719,51.20059,0.09,0.066,49.0,1
151,35.72797,51.20052,0.09,0.161,49.3,1
152,35.73852,51.19988,0.09,0.132,48.4,1
153,35.72446,51.19985,0.09,0.115,49.8,1
154,35.75232,51.19826,0.09,0.066,48.6,1
155,35.73096,51.19754,0.09,0.152,48.5,1
156,35.75179,51.19593,0.09,0.054,50.2,1
157,35.74259,51.19591,0.09,0.148,48.8,1
158,35.72933,51.19588,0.09,0.159,51.1,1
159,35.74232,51.19392,0.09,0.148,48.4,1
160,35.74124,51.19392,0.09,0.112,48.6,1
161,35.74422,51.19193,0.09,0.091,50.1,1
162,35.74341,51.19127,0.09,0.131,49.4,1
163,35.74936,51.19029,0.09,0.051,50.4,1
164,35.74666,51.18862,0.09,0.123,49.7,1
